id,genres,cast,director,writers,production_companies,producers,original_language,runtime,rating
3705,"Thriller, TV Movie","Nikki Leigh, Jason Tobias, Stefano Pinto, Debra Wilson, Cassi Colvin, Diana Terranova, Zach Cramblit, Kelly Dowdle, Tilky Jones, Robert Michael, Brian Zinda",Sam Irvin,Jason Byers,"MarVista Entertainment, Lifetime","Fernando Szew, Sharon Bordas, Kimberly A. Ray",en,87,4.18
3706,Music,"Kuroneko, MAKATO, Masahiro Abe, Maneki, Matatabi, Karukan",,,King Records,,ja,169,10
3707,Documentary,Giuseppe Rinaldi,Michelangelo Antonioni,"Andrea Barbato, Michelangelo Antonioni",RAI,,it,208,7.289
3708,"Adventure, Drama, Science Fiction, TV Movie","Duncan Regehr, Ric Reid, Brian McNamara",James Goldstone,Ed Spielman,,,en,115,5.3
3709,Western,"Dick O'Shea, Jane Alexander, Keith Carradine, Dana Elcar, Neil Davis, Eric Douglas, Kirk Douglas, Johnny Cash, R.C. Bishop, Timothy Tuinstra, James D. Cavasos, Paul Lambert, Robert J. Wilke, Philip L. Mead, Paula Dillenschneider, George Le Bow, John Gill, Douglas Doran, Dave Burleson, John J. Wallwork, Donna Dillenschneider, Karen Black",Lamont Johnson,Harold Jack Bloom,"Paramount, Joel Productions, Harvest Pictures, Thoroughbred Productions","Harold Jack Bloom, Kirk Douglas, A. Ronald Lubin",en,89,5.8
3710,Action,"Chiang Tao, Tony Leung Siu-Hung, Lee Hoi-Gei, Jim Kelly, Cheng Suk-Ying, Dorian Tan Tao-Liang, Chan Sing, Fong Yuen, Cheng Fu-Hung, Lee Hoi-Sang, Wong Mei, Bolo Yeung, Bobby Canavarro, Wong Yat-fei, Norman Wingrove",Lee Tso-Nam,"Chang Hsin-Yi, Po Sheng Lu",First Films,,zh,90,5.2
3711,"Drama, Thriller","Nina Sosanya, Jo Wheatley, Benedict Cumberbatch, Katherine Waterston, Joel Fry, Sinéad Trinnaman, Gina McKee, Jodie Comer, Ramanique Ahluwalia, Alexandria Riley, Mark Strong",Mahalia Belo,"Alice Birch, Megan Hunter","SunnyMarch, Hera Pictures, Anton, BBC Film, C2 Motion Picture Group","Eva Yates, Fani Ntavelou-Baum, Suraj Maraboyina, Jason Cloth, Pieter Engels, Sophie Hunter, Rob Harper, Sebastien Raybaud, Claudia Yusef, Kate Maxwell, Benedict Cumberbatch, Liza Marshall, Leah Clarke, Fanny Soulier, Lizzie Francke, Dave Caplan, Jodie Comer, Adam Ackland, Amy Jackson, Mark Strong",en,101,5.883
3712,"Romance, Drama","Ron Lawrence, Christopher Beaumont, Lynn Cartwright, Pat Woodell, Barbara Mills, Phillip Terry, Gary Clarke, Sondra Currie, Luanne Roberts, Marki Bey","Mack Bing, Arthur Marks","Johnny Legend, Jack Mattis",General Film Corporation,"Charles Stroud, Don Gottlieb",en,82,3.5
3713,Drama,"Mitya Makhonin, Ilya Nagirnyak, Nikolay Suslov, Aglaya Shilovskaya, Vasiliy Vakulenko",Sergey Solovyov,Andrey Gelasimov,Legenda Project Group,,ru,96,6.5
3714,"Drama, Romance","Hannah Morris, Crispin Bonham-Carter, Christopher Owen, Carli Fish, Maisie Bryceland, Joanna John, Michael Lieber, Sarah Hadland, Derek Jacobi, Rachel Pickup, Jared Leto, Jackson Ellis Leach, Jack Wild, Christian Slater, Georgiana Johnson, Glenn Marks, Stephanie Bagshaw, Matthew Steer, Ann-Louise Grimshaw, Claire Forlani, David Ross, Guy Witcher, Jenny Downham",Radha Bharadwaj,"Wilkie Collins, Radha Bharadwaj",,"Donald Kushner, Radha Bharadwaj, Peter Locke, Lawrence Mortorff, Fuminori Hayashida",en,113,5.37
3715,"Comedy, Crime","Paul Economon, Benny Barrett, Katie Troske, Derek Dirlam, Al Fiene, Joel Thingvall, Timothy Meinke, Rachel Grubb, Annie Landkammer, Bruce Purcell, H.T. Altman, Don Peterson, Iris Seifert, Chris Charais, Douglas Sidney",Jack Beranek,Jack Beranek,Flying Buttress Media,,en,84,7
3716,Drama,"Derek Johnson, Kelli Barnett, Peter Bogdanovich, Frank Krias, Jonas Mekas, Robert Margolis","Frank Matter, Robert Margolis","Frank Matter, Robert Margolis","Dirt Road Films, soap factory",,en,85,10
3717,"Drama, Thriller","Matt Abshire, Alexandra Bard, Clayton Farris, Jennifer Sipes, Michael Monks, Brad Maule, Stephen Ellis",Reyn Del Rio,David I. Jenkins,,"James LaMarr, Phillip Guzman, Stephanie Rodriguez, Randy Stephen, Keli Price",en,88,9
3718,Documentary,"Carlos Suárez, Sean Leary, Leo Houlding",Alastair Lee,,Posing Productions,,en,68,4.7
3719,"Drama, Action, Crime","Shiva Rindani, Tiku Talsania, Asha Sharma, Kimi Katkar, Shatrughan Sinha, Goga Kapoor, Ashok Saraf, Gulshan Grover, Yunus Parvez, Leela Mishra, Govinda, Anita Raj, Anupam Kher",Anand,Muklesh Bakshi,FG Film Group [IN],,hi,146,2
3720,Comedy,"Richie Gold, Rita Rudner, Regis Philbin, Harry Basil, Sam Kinison, Christine Poor, Rodney Dangerfield, Louie Anderson, Yakov Smirnoff, Maurice LaMarche, Bob Nelson, Teddy Wong, Rebeca Arthur, Bob Saget",Walter C. Miller,,Paper Clip Productions,"Rodney Dangerfield, Estelle Endler",en,60,8
3721,"Drama, Romance","Milada Smolíková, Valentina Thielová, Svatopluk Skládal, Eva Jiroušková, George Skalenakis, Václav Všelicha, Oleg Reif, Eva Svobodová, František Miroslav Doubrava, Josef Skrčený, Renata Olárová, Vlasta Janečková, Jiří Vala, Stanislav Neumann, Růžena Lysenková, Václav Poláček, Jana Brejchová, Ema Skálová, Hanuš Bor, Jiří Dohnal, Eduard Cupák, Václav Lohniský, František Kreuzmann, Jan Čuřík, Ludmila Roubíková, Antonín Novotný, Ladislav Krečmer",Zbyněk Brynych,"František Břetislav Kunc, Zbyněk Brynych, Pavel Kohout, Vladimír Kalina",Filmové studio Barrandov,Bohumil Šmída,cs,97,5.7
3722,"Crime, Action, Comedy","Katja Schuurman, Bas Keijzer, Joop Kasteel, Edmond Classen, Marwan Kenzari, Alex van Warmerdam, Horace Cohen, Renée Fokker, Kempi, Simon Armstrong, Birgit Schuurman, Raymond Thiry, Ursul de Geer, Wiwa, Semmy Schilt, Robert de Hoog, Kim van Kooten",Arne Toonen,"Gerben Hellinga, Melle Runderkamp","Nederlands Fonds voor de Film, Hazazah Pictures, CoBo Fonds, Inspire Pictures, BNN, Orange Film, BNN TV","Jeroen van den Idsert, Maarten Kuit, Erwin Godschalk, Bert Nijdam",nl,87,5.9
3723,"Horror, Romance, Thriller","Mitch Powell, Suzanne Roche, Anna Burkholder, Patricia Duarte",Rupesh Paul,Rupesh Paul,BizTV Network,,en,120,2.571
3724,"War, Drama","Arne Westermann , Preben Neergaard, Axel Frische, Kjeld Jacobsen, Poul Bundgaard, Ove Sprogøe, Bruno Tyron, Preben Lerdorff Rye, Carl Heger, Jon Iversen, Per Buckhøj, Lisbeth Movin, Buster Larsen, Bjørn Watt-Boolsen, Henny Lindorff Buckhøj, Mantza Rasmussen, Inga Reim, Karl Jørgensen, Poul Secher, Preben Uglebjerg, Lau Lauritzen Jr., Poul Reichhardt, Johannes Meyer, Henning Windfeldt, Ib Fürst, Aksel Stevnsborg, Conrad Eugén","Bodil Ipsen, Lau Lauritzen Jr.","Kaj Frische, Grete Frische",ASA,,da,105,5.2
3725,,"Fatima Hersi, Tony Kgoroge",Khalo Matabane,Khalo Matabane,,,en,80,6.5
3726,Drama,"Angelo Gallina, Anna Cipriani, Amedeo Ciaffi, Francesca Bertini, Elvira Radaelli, Andrea Habay",Nino Oxilia,Guglielmo Zorzi,Celio Film,,it,67,6.2
3727,Documentary,,,,,,en,540,9.5
3728,"Drama, Comedy","Shih Chun, Kiyonobu Mitamura, Lee Kang-sheng, Chen Chao-jung, Yang Kuei-Mei, Miao Tien, Chen Shiang-Chyi",Tsai Ming-liang,Tsai Ming-liang,Homegreen Films,"Vincent Wang, Hung-Chih Liang",zh,82,6.6
3729,"Drama, Thriller","Ranbir Kapoor, Sarah Thompson, Ajay Devgn, Chetan Pandit, Vinay Apte, Katrina Kaif, Nana Patekar, Naseeruddin Shah, Manoj Bajpayee, Arjun Rampal, Kiran Karmarkar, Darshan Jariwala, Shruti Seth, Daya Shankar Pandey",Prakash Jha,"Gulzar, Swanand Kirkire, Sameer Anjaan, Prakash Jha, Anjum Rajabali, Irshad Kamil","UTV Motion Pictures, Walkwater Media, Prakash Jha Productions",Prakash Jha,hi,167,6.275
3730,"Drama, Thriller","Nam Yeon-woo, Kwon Yong-hwan, Yun Young-min, Song You-hyun, Lee Ju-won, Kim Dong-hyun, No Seung-woo",Park Hong-min,"Cha Hyejin, Park Hong-min",Nongbu Film,,ko,90,5.8
3731,Documentary,"Jerry Scheff, Ronnie Tutt, Charlie Hodge, James Burton, Kathy Westmoreland, John Wilkinson, J.D. Sumner, Elvis Presley",Dwight Hemion,Annet Wolf Sr.,Smith-Hemion Productions,"Dwight Hemion, Gary Smith",en,63,8
3732,,,Kermit Schafer,,,,en,75,2
3733,Drama,"Nadezhda Markina, Vitaliy Kovalenko, Jean-Baptist Demarigny, Chulpan Khamatova, Mar Sodupe, Emmanuelle Bougerol, Pavle Čemerikić, Angelina Debor, Arnaud Humbert, Jovo Maksić, Jonathan Zaccaï, Igor Filipović, Lyubov Makeeva, Kseniya Ryabinkina, Antonio Scarpa, Louis Hofmann, Elena Trepetova, Andrey Urgant, Radoslav 'Rale' Milenković, Anna Stanic, Olivier Rabourdin, Adèle Exarchopoulos, Maksimilian Grigoriyev, Zach Avery, Alexey Morozov, Sergei Polunin, Milutin Milošević, Oleg Ivenko, Ravshana Kurkova, Nebojša Dugalić, Nicoletta Braschi, Frano Lasić, Dmitrii Karanevskii, Calypso Valois, Juliette Armanet, Ralph Fiennes, Yves Heck, Yann Bean, Tamara Krcunović, Greg De Cuir, Anastasiya Meskova, Raphaël Personnaz, Anastasiya Gribova",Ralph Fiennes,"David Hare, Julie Kavanagh","BBC Film, Magnolia Mae Films, HanWay Films, Metalwork Pictures, Work in Progress, Montebello Productions","Liam Neeson, François Ivernel, Wayne Marc Godfrey, Marie-Gabrielle Stewart, Andrew Levitas, Ralph Fiennes, Robert Jones, Lisa Wolofsky, Anne Sheehan, Carolyn Marks Blackwood, Joe Oppenheimer, Gabrielle Tana, Charles de Rosen, Peter Watson",en,127,6.622
3734,Horror,"Mattia Rinaldi, Sebastiano Lo Monaco, Dani Samvis, Federico Palmieri, Marcus J. Cotterell, Ruggero Deodato, Danilo Maria Valli, Vincenzo Petrarolo, Joelle Rigollet, Elena Croce, Manuela Stanciu",Vincenzo Petrarolo,Davide Chiara,Bea Production Company,Valentina Vinci Orlando,en,88,4.5
3735,Documentary,"Shai Linne, Paul Washer, R.C. Sproul, Ligon Duncan, Kevin DeYoung",Les Lanphere,Les Lanphere,,,en,88,8.7
3736,"Action, Crime","Steven Cooke, Jennifer Prettyman, Joey Travolta, Danny Spear, Thomas Hargreaves, Jackie Moen, Phil O'Dell, Wings Hauser, Kari French, Diane C. Skinner, Nan Dawn, David Crane, Karen Russell, William J. Kulzer, Jeff Gamble",Eric Louzil,"Lynn Suzanne Gould, Eric Louzil",,"Vito Di Bari, Lillian Balteanu, Eric Louzil, Riccardo DiBari",en,92,7.2
3737,"Action, Comedy","Chi Fu-Chiang, Chin Han, Ko Hsiao Pao, Ling Yun, Yuan Shen, Jack Long Shi-Chia, Min Min, Huang Lan, Lee Hung, Tsui Li, Cheng Fu-Hung, Miao Tien, Yang Kuei-Yu",Lee Tso-Nam,Lee Tso-Nam,Shaw Brothers,Run Run Shaw,zh,91,6
3738,Comedy,"Abbie Cobb, Sarah Drew, David Hunt, Samantha Hanratty, Trace Adkins, Lance E. Nichols, Sean Astin, Brett Rice, Randy McDowell, Rhoda Griffis, Robert Amaya, Brad Heller, Andrea Logan White, Manwell Reyes, Harry Shum Jr., Anjelah Johnson-Reyes, Patricia Heaton, Shiloh Nelson, Jason Burkey, Alex Kendrick, Kevin Downes, Michael Leone","Jon Erwin, Andrew Erwin","Jon Erwin, Andrea Gyertson Nasfell","TriStar Pictures, Provident Films, Pure Flix Entertainment, Affirm Films, FourBoys Entertainment","Andrew Erwin, Daryl C. Lefever, Russell Wolfe, David Hunt, Kevin Downes, Jon Erwin, David A.R. White, Michael Scott, Patricia Heaton, Elizabeth Hatcher-Travis, Dave Alan Johnson",en,98,5.598
3739,Drama,"Ian Hunter, Elizabeth Patterson, John Dilson, Henry Hull, Edward Hearn, Harlan Briggs, Lee Phelps, Arthur Aylesworth, Guy Kibbee, Jack Daley, Milton Parsons, Lois Wilson, Reginald Owen, Ann E. Todd, Mickey Kuhn, Esther Dale, Terry, Edward McWade, Douglas Madore, Virginia Weidler, Byron Foulger, Mitchell Lewis, Wade Boteler, Russell Hicks, Harry Hayden, George Irving, Gene Reynolds",Wilhelm Thiele,"Dorothy Yost, Margaret Turnbull",Metro-Goldwyn-Mayer,Albert E. Levoy,en,72,4.9
3740,"Music, Fantasy, Comedy, TV Movie","Claude Rains, Carl Benton Reid, Amzie Strickland, Lori Nelson, Jim Backus, Doodles Weaver, William H. O'Brien, Joseph Sargent, Kay Starr, Oliver Blake, Jess Kirkpatrick, Van Johnson, Stanley Adams, Cyril Delevanti, James Gonzalez, Judith Woodbury, Rene Kroper",Bretaigne Windust,"Irving Taylor, Robert Browning, Hal Stanley",Hal Stanley Productions,Hal Stanley,en,87,5.6
3741,Documentary,Amir Rashidi,Susanne Regina Meures,Susanne Regina Meures,Christian Frei Filmproductions,Christian Frei,fa,84,6.5
3742,Horror,"Richard Derr, Flory Carlos, Oscar Keesee, Lilia Duran, Peyton Keesee, Francis Lederer, Greta Thyssen",Gerardo de Leon,Paul Harber,"Lynn-Romero Productions, Premiere Productions","Eddie Romero, Kane W. Lynn",en,89,4.091
3743,"Crime, Drama, Thriller","Edmund Cobb, Billy Wayne, Brady Kline, Charles McAvoy, Harry Bernard, Emmett Vogan, Mike Donovan, Bess Wade, Joseph E. Bernard, Herbert Ashley, Lee Phelps, Jack Rube Clifford, Kernan Cripps, Earl Askam, Kit Guard, Fay Holderness, Eric Alden, George Taylor, Edward Peil Sr., Monte Vandergrift, Ted Oliver, Phillip Trent, James P. Burtis, Chuck Hamilton, Pat O'Malley, Eddy Chandler, Gus Reed, Frank Yaconelli, Ralph Bellamy, Ralph Remley, Frank Fanning, Frank O'Connor, Martin Spellman, Arthur Stuart Hull, Dick Curtis, Lillian West, George Douglas, Al Herman, James Blaine, Marshall Ruth, Arthur Loft, Tom Mahoney, George Lynn, Joe King, Ethel Wales, William V. Mong, Mary Foy, John Qualen, Clarence Wilson, Beatrice Curtis, Charles Trowbridge, Bob Walker, Philip Morris, Harry Hollingsworth, Lee Shumway, Harry Holman, Walter Soderling, Wright Kramer, Billy Lee, Maureen O'Sullivan, Edward Hearn, George Chesebro, Joe De Stefani, Phil Dunham, Al Ferguson, Ted Thompson, Joseph Forte, William Royle, Carl Faulkner, Betty Farrington, Robert Homans, Henry Fonda, Ann Doran, Harry A. Bailey, Dick Rush, Charles Lane, Milton Kibbee, Tom London, Sharon Lewis, Dick Jensen, Jessie Perry, Henry Kolker, Alan Baxter, Sam McDaniel, Alec Craig, Ray Walker, Herbert Heywood, Stanley Ridges, Norman Ainsley, Dick Elliott, Byron Foulger, Sammy Blum, Bruce Mitchell, Harry C. Bradley, Lee Prather, Bud Geary, Forrester Harvey, Chuck Colean",John Brahm,"Anthony Veiller, Allen Rivkin, Joseph F. Dinneen",Columbia Pictures,William Perlberg,en,65,6.636
3744,Documentary,"Anastasia Mikova, Emmanuelle Béart","Anastasia Mikova, Emmanuelle Béart","Anastasia Mikova, Emmanuelle Béart","Haut et Court, Bienvenue Production","Emmanuelle Lepers, Frédéric Chaudier",fr,100,9.2
3745,Drama,"Raiku Kemppi, Ture Junttu, Meri Oravisto, Kauko Helovirta, Ritva Laatto, Martti Romppanen, Erik Uddström",Sakari Rimminen,"Meri Kurenniemi, Sakari Rimminen",FJ-Filmi,Arno Carlstedt,fi,89,3.7
3746,Documentary,,Michał Edelman,"Michał Edelman, Patryk Sielecki",PWSFTviT,,pl,67,5
3747,"Horror, Thriller, Comedy","Dennis Scullard, Alex Vincent, Brad Dourif, Allison Dawn Doiron, Fiona Dourif, Adam Hurtig, Matthew Stefanson, Summer H. Howell, Ali Tataryn, Aidan Ritchie, Jennifer Tilly, Marina Stephenson Kerr, Grace Lynn Kung, Lorrie Papadopoulos, Paolo Bryant, Zak Santiago, Dan De Jaeger, Tom Anniko, Dustin Kuschnereit, Christine Elise, Elisabeth Rosen, Linden Porco, Michael Therriault, Darren Wall",Don Mancini,Don Mancini,Universal 1440 Entertainment,"Ogden Gavanski, David Kirschner, Don Mancini",en,91,5.787
3748,"Comedy, Drama","Martin Glade, Axel Werner, Inez Bjørg David, Alexander Hörbe, Daniel Rodic, Adelheid Kleineidam, Jörn Hentschel, Uwe Ochsenknecht, Laura Louisa Garde, Philippe Brenninkmeyer, Rainer Strecker",Edzard Onneken,"Christian Krüger, Barry Thomson","Bavaria Fiction, ARD",,de,89,6.3
3749,,"Martin Rapold, Michael Neuenschwander, Sandra Utzinger, Miriam Stein, Stephanie Japp, Joel Basman",Tobias Ineichen,,,,de,90,8.5
3750,"Adventure, Animation, Family","Richard Jenkins, Sam Fell, Robbie Coltrane, Frank Langella, Frances Conroy, William H. Macy, Matthew Broderick, Dustin Hoffman, Ciarán Hinds, McNally Sagal, Tracey Ullman, Tony Hale, Charles Shaughnessy, Kevin Kline, Emma Watson, Sigourney Weaver, Christopher Lloyd, Patricia Cullen, Stanley Tucci","Sam Fell, Robert Stevenhagen","Kate DiCamillo, Gary Ross, Will McRobb, Chris Viscardi",Larger Than Life Productions,"Ryan Kavanaugh, William Sargent, Gary Ross, Robin Bissell, David Lipman, Allison Thomas",en,93,6.075
3751,Drama,"Jack Falahee, Zak Kilberg, Elizabeth Peña, Rory Culkin, Brian Dennehy, Jason Brill, Anna Shields, Robert Sheehan, Mary Beth Peil, Isabelle McNally, Olivia Mogul",Ari Gold,"Ari Gold, Elizabeth Bull","Grack Films, Social Construct, Act Zero Films","Zak Kilberg, Ari Gold, Anne Bernstein, Allison Rose Carter, Michael Bederman, Garrett P. Fennelly",en,94,5.441
3752,"Drama, Romance","Mal Whyte, Sylvia Teron, Tom Hickey, Donal McCann, Patrick Mason, Mikkel Gaup, Tommy Donoghue, Lorraine Pilkington, Niall Byrne, Beverly D'Angelo, Mary Coughlan, Johnny Devlin, Stephen Brennan, Dermod Moore, Earl Gill, Darragh Kelly, Alan Archbold, Jer O'Leary, Martin Dunne, Stanley Townsend, Chris Kenevey, J.G. Devlin, Anita Reeves, Ruth McCabe, Cathleen Delany, Shane Connaughton",Neil Jordan,Neil Jordan,"Cineplex Odeon Films, British Screen Productions, Film4 Productions","Stephen Woolley, Redmond Morris",en,97,5.8
3753,"Romance, Comedy","Lissy, Sukumari, Thikkurissy Sukumaran Nair, Kuthiravattam Pappu, Sreenath, Shankar, Menaka Suresh, Mukesh, Sreenivasan, Poojappura Ravi, Nedumudi Venu, Jagadish",Priyadarshan,Sreenivasan,Dinny Films,G Suresh Kumar,ml,175,5.625
3754,"Action, Crime, Mystery","Tadao Nakamaru, Masanobu Oki, Akihiko Hirata, Naoya Kusakawa, Toki Shiozawa, Michiyo Yokoyama, Tatsuya Mihashi, Hiroshi Takagi, Yutaka Nakayama, Hideyo Amamoto, Masaya Nihei, Kō Mishima, Yukiko Shimazaki, Kan Hayashi, Mie Hama, Kumi Mizuno, Yūzō Kayama, Kazuo Suzuki, Ikio Sawamura, Sachio Sakai, Makoto Satō, Seizaburō Kawazu, Ichirō Nakatani, Haruo Nakajima, Mickey Curtis, Akira Wakamatsu",Kihachi Okamoto,Shinichi Sekizawa,TOHO,Tomoyuki Tanaka,ja,73,6.2
3755,"Science Fiction, Action, Adventure, Animation",,Kiyoshi Murayama,,"production reed, Taki Corporation, TOHO",,ja,87,8
3756,"Drama, Comedy","Tilo Prückner, Sofia Bolotina, Wanda Perdelwitz, Oliver Törner, Juta Vanaga, Andreas Windhuis, Karin Heine, Wotan Wilke Möhring, Julia Koschitz",Johannes Fabrick,Petra Katharina Wagner,"ZDF, d.i.e. Film GmbH, A.Pictures Film & TV Production",,de,94,6.3
3757,Comedy,"Assumpta Serna, Sílvia Munt, Pep Fortuny, Jordi Goncé, José Luis Arrebola, Ricard Borràs, Josep Maria Benaiges, Dolors Ducastella, Rosa Soms, Lali Segorb, Antonio Maroño, Amor Folch, Francesc Albiol, Mercedes Molina, Andrea Bertti, José María Loperena, Alicia Orozco, Joan Borràs, Carme Elias, Vicky Peña, Juanjo Puigcorbé",Francesc Bellmunt,"Francesc Bellmunt, Juanjo Puigcorbé",Producciones Zeta,José Antonio Pérez Giner,ca,101,4.2
3758,"Adventure, Romance","Manisha Koirala, Raj Babbar, Aruna Irani, Salim Ghouse, Shakti Kapoor, Kulbhushan Kharbanda, Govinda",Anil Sharma,,,,hi,150,5.1
3759,Drama,"Andy Wong Chi-Man, Hin Yan Wong, Francis Ng, Shaun Chen, Buber Mak, Cecilia Yip, Chu Pak-Hong, Will Or, Kenneth Cheung, Bobby Yu Shuk-Pui, Cecilia Choi, Flora Tang, Yu Miu-Lin, Singh Hartihan Bitto, Baby Bo Pui-Yu, Tse Kwan-Ho, Loletta Lee",Jun Li,Jun Li,MM2 Studios Hong Kong,"Mani Man Pui-Hing, Flora Tang",cn,112,7.3
3760,Comedy,René Marik,,,Sony Music Entertainment,,de,94,6.6
3761,"Romance, Drama","Bruno Ganz, Jón Ólafsson, Magnús Ólafsson, Jóhannes Arason, Eiríkur Guðmundsson, Hallur Hallsson, Hafliði Magnússon, Karl Jónatansson, Baldvin Halldórsson, Völundur Óskarsson, Margrét Ólafsdóttir, Jóhann Sigurðsson, Skule Eriksen, Sigríður Björnsdóttir, Wolfgang Pfeiffer, Sigríður Hagalín, Jörundur Hilmarsson, Björn Karlsson, Kristinn Ágúst Friðfinnsson, Rúrik Haraldsson, Rögnvaldur Finnbogason, Tinna Gunnlaugsdóttir, Valgerður Dan, Fridrik Thor Fridriksson, Gísli Halldórsson, Guðbrandur Gíslason, Hallmar Sigurðsson, Bryndis Petra Bragadóttir, Egill Ólafsson",Fridrik Thor Fridriksson,"Fridrik Thor Fridriksson, Einar Már Guðmundsson","Max Film, Íslenska kvikmyndasamsteypan, Metro Film","Wolfgang Pfeiffer, Fridrik Thor Fridriksson",is,85,6
3762,"Crime, Comedy","Ren Osugi, Shirō Shimomoto, SABU, Kenzō Kawarasaki, Koyo Maeda, Show Aikawa, Akira Kiuchi, Yumiko Abe, Yoriko Doguchi, Eiichi Furui, Iwao Dan, Takeshi Mikami",Kiyoshi Kurosawa,"Kuniho Yasui, Kiyoshi Kurosawa",,,ja,80,7
3763,"Comedy, Drama, Music","Merritt Smith, Madeline Belt, Lucky Millinder, Mamie Smith, Sidney Easton, Alec Lovejoy, Babe Matthews, Eddie Matthews, George Williams, Francine Everett, Percy Verwayen, Edna Mae Harris, Norman Astwood, Frank H. Wilson, Herman Green, Lionel Monagas, Emory Johnson, Juanita Hall",Joseph Seiden,"Vincent Valentini, Frank H. Wilson",Jubilee Pictures Corporation,,en,85,5.4
3764,"Drama, Romance","Mack Williams, Norman Stevans, George Calliga, Gigi Perreau, Patrick Miller, William Reynolds, James Rawley, Joan Bennett, Jack Chefe, Hermine Sterler, Helen Kleeb, Paul Smith, June Clayworth, Judy Nugent, Pat Crowley, Lulu Mae Bohrman, Frances Mercer, Jane Darwell, Stuart Hall, Sheila Bromley, Jack Lomas, Charles Perry, Loreli Vitek, Sol Murgi, Hal Smith, Vonne Lester, William H. O'Brien, Race Gentry, Dorothy Bruce, Bert Stevens, Beulah Christian, Fred MacMurray, Fred Nurney, Louise Lorimer, Joe Brooks, Jean Byron, Ross Hunter, Charles Fogel, Loretta Russell, Carlyle Mitchell, Myrna Hansen, Oliver Cross, Barbara Stanwyck, Bert Holland, John Breen, Jeffrey Sayre, Peter Gennaro, Jane Howard",Douglas Sirk,"Ursula Parrott, Bernard C. Schoenfeld",Universal International Pictures,Ross Hunter,en,84,7.085
3765,Documentary,,Richard Bond,Richard Bond,,Jesse Surratt,en,139,6.3
3766,Comedy,Daniel Sloss,Kevin Bishop,Daniel Sloss,2entertain,"Leslie Hills, Amanda Black, Daniel Sloss",en,72,9
3767,"Drama, Comedy","Scott Weinberg, Katie Folger, Seth Lee, Arthur Dale, AJ Bowen, Tony Vespe, Caleb Barwick, Devin Bonnée, Byron Brown, Janet Travis, Korey Coleman",Emily Hagins,Emily Hagins,,,en,90,4.7
